sample,LMC1,LMC2,tool,V1,V2,min_cpgs,min_counts
20M_mix_Bmap_CLBGA_0_rep1,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep10,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep11,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep12,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep13,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep14,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep15,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep16,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep17,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep18,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep19,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep2,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep20,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep21,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep22,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep23,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep24,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep25,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep26,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep27,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep28,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep29,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep3,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep30,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep31,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep32,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep33,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep34,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep35,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep36,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep37,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep38,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep39,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep4,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep40,0.0001020299338489,0.999897970066151,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep41,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep42,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep43,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep44,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep45,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep46,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep47,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep48,3.96668133115262e-06,0.999996033318669,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep49,0.0001392452679678,0.999860754732032,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep5,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0_rep50,0.0,1.0,MeDeCom,,,3,10
