Sample	Replicate	Exp.nbl	Depth	Data	Subsampling	N.nbl.reads	Type	Input.material	Fraction.tp.perc	Fraction.tp	Fraction.ddPCR
5M_mix_Bmap_CLBGA_0_rep1	1	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep1	1	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep1	1	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep1	1	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep1	1	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep1	1	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep1	1	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep1	1	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep1	1	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep1	1	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep1	1	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep1	1	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep1	1	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep1	1	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
