task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	12/3e9c89	3904209	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (5)	CACHED	0	2024-10-19 07:56:35.163	4.5s	3.9s	93.1%	124.7 MB	129.9 MB	183.1 MB	139.3 MB
16	ff/9de6f1	3889581	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (10)	CACHED	0	2024-10-19 07:56:03.999	6.6s	3.2s	111.5%	7.9 MB	15.1 MB	183.2 MB	139.4 MB
18	2c/8c9575	3902345	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (11)	CACHED	0	2024-10-19 07:56:31.241	3.9s	3.4s	105.6%	124.5 MB	129.9 MB	183.2 MB	139.3 MB
11	b2/3e08c9	3901252	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (7)	CACHED	0	2024-10-19 07:56:29.295	3.8s	3.4s	109.1%	9.1 MB	16.7 MB	183.1 MB	139.3 MB
34	20/5aaae5	3899969	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (16)	CACHED	0	2024-10-19 07:56:26.469	3.6s	3.2s	96.8%	88.5 MB	93.7 MB	162.7 MB	123.4 MB
2	23/c99742	3904971	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (1)	CACHED	0	2024-10-19 07:56:36.938	3.5s	2.7s	133.5%	87.8 MB	93 MB	183.2 MB	139.4 MB
3	6e/6864c7	3891339	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (2)	CACHED	0	2024-10-19 07:56:10.086	3.4s	2.7s	130.6%	59.8 MB	64.8 MB	183.1 MB	139.3 MB
36	11/53428b	3897291	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (20)	CACHED	0	2024-10-19 07:56:20.728	3.5s	3.1s	116.6%	8 MB	15.1 MB	183 MB	139.3 MB
19	3f/3441b5	3904651	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (8)	CACHED	0	2024-10-19 07:56:36.278	5.2s	4.3s	131.7%	259.3 MB	264.3 MB	254.3 MB	193.6 MB
8	57/5e2414	3896109	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (4)	CACHED	0	2024-10-19 07:56:18.338	5.6s	5.2s	133.7%	355.2 MB	360.3 MB	304.8 MB	231.2 MB
32	10/190941	3898078	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (15)	CACHED	0	2024-10-19 07:56:23.035	3.4s	2.9s	107.9%	8 MB	15 MB	156.2 MB	117.1 MB
28	88/fd0da5	3898289	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (13)	CACHED	0	2024-10-19 07:56:23.387	3.3s	2.8s	132.5%	139.8 MB	145 MB	177.4 MB	133.8 MB
7	3d/331a98	3903141	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (4)	CACHED	0	2024-10-19 07:56:33.093	3.2s	2.7s	130.2%	37.3 MB	42.5 MB	183 MB	139.2 MB
22	ba/fa445f	3891397	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (13)	CACHED	0	2024-10-19 07:56:10.351	3.5s	3s	119.3%	9.3 MB	16.7 MB	183.3 MB	139.5 MB
13	f6/3c3310	3893515	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (8)	CACHED	0	2024-10-19 07:56:13.907	3.1s	2.7s	133.3%	124.9 MB	129.8 MB	183.1 MB	139.3 MB
